Name,Certificate,Year,Rate,Votes,Link,Genres,Plot,Writers,Directors,Actors,Storyline
The Shawshank Redemption,R,1994,9.3,2906782,https://www.imdb.com/title/tt0111161/,Drama,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Stephen King
Frank Darabont",Frank Darabont,"Tim Robbins
Morgan Freeman
Bob Gunton
William Sadler
Clancy Brown
Gil Bellows
Mark Rolston
James Whitmore
Jeffrey DeMunn
Larry Brandenburg
Neil Giuntoli
Brian Libby
David Proval
Joseph Ragno
Jude Ciccolella
Paul McCrane
Renee Blaine
Scott Mann",The Shawshank Redemption has become a classic film - it's even IMDb's top-rated movie of all time - but did you know it almost had an entirely different cast behind those legendary bars?
The Godfather,R,1972,9.2,2025611,https://www.imdb.com/title/tt0068646/,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Mario Puzo
Francis Ford Coppola",Francis Ford Coppola,"Marlon Brando
Al Pacino
James Caan
Diane Keaton
Richard S. Castellano
Robert Duvall
Sterling Hayden
John Marley
Richard Conte
Al Lettieri
Abe Vigoda
Talia Shire
Gianni Russo
John Cazale
Rudy Bond
Al Martino
Morgana King
Lenny Montana","See the complete list of Best Picture winners. For fun, use the ""sort order"" function to rank by IMDb rating and other criteria."
The Dark Knight,PG-13,2008,9,2888093,https://www.imdb.com/title/tt0468569/,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Jonathan Nolan
Christopher Nolan",Christopher Nolan,"Christian Bale
Heath Ledger
Aaron Eckhart
Michael Caine
Maggie Gyllenhaal
Gary Oldman
Morgan Freeman
Monique Gabriela Curnen
Ron Dean
Cillian Murphy
Chin Han
Nestor Carbonell
Eric Roberts
Ritchie Coster
Anthony Michael Hall
Keith Szarabajka
Colin McFarlane
Joshua Harto","In Sir Michael Caine's opinion, Heath Ledger beat the odds and topped Jack Nicholson's Joker from Batman (1989): ""Jack was like a clown figure, benign but wicked, maybe a killer old uncle. He could be funny and make you laugh. Heath's gone in a completely different direction to Jack, he's like a really scary psychopath. He's a lovely guy and his Joker is going to be a hell of a revelation in this picture."" Caine bases this belief on a scene where The Joker pays a visit to Bruce Wayne's penthouse. He'd never met Ledger before, so when Ledger arrived and performed, he gave Caine such a fright, he forgot his lines."
The Godfather Part II,R,1974,9,1371730,https://www.imdb.com/title/tt0071562/,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Francis Ford Coppola
Mario Puzo",Francis Ford Coppola,"Al Pacino
Robert De Niro
Robert Duvall
Diane Keaton
John Cazale
Talia Shire
Lee Strasberg
Michael V. Gazzo
G.D. Spradlin
Richard Bright
Gastone Moschin
Tom Rosqui
Bruno Kirby
Frank Sivero
Francesca De Sapio
Morgana King
Marianna Hill
Leopoldo Trieste","See the complete list of Best Picture winners. For fun, use the ""sort order"" function to rank by IMDb rating and other criteria."
12 Angry Men,Approved,1957,9,871506,https://www.imdb.com/title/tt0050083/,"Crime, Drama",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Reginald Rose
Sidney Lumet",Sidney Lumet,"Henry Fonda
Lee J. Cobb
Martin Balsam
John Fiedler
E.G. Marshall
Jack Klugman
Edward Binns
Jack Warden
Joseph Sweeney
Ed Begley
George Voskovec
Robert Webber
Rudy Bond
Tom Gorman
James Kelly
Billy Nelson
John Savoca
Walter Stocker",Director Sidney Lumet had the actors all stay in the same room for several hours on end and do their lines over and over without filming them. This was to give them a real taste of what it would be like to be cooped up in a room with the same people.
Schindler's List,R,1993,9,1459574,https://www.imdb.com/title/tt0108052/,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Thomas Keneally
Steven Zaillian",Steven Spielberg,"Liam Neeson
Ralph Fiennes
Ben Kingsley
Caroline Goodall
Jonathan Sagall
Embeth Davidtz
Malgorzata Gebel
Shmuel Levy
Mark Ivanir
Béatrice Macola
Andrzej Seweryn
Friedrich von Thun
Krzysztof Luft
Harry Nehring
Norbert Weisser
Adi Nitzan
Michael Schneider
Miri Fabian","See the complete list of Best Picture winners. For fun, use the ""sort order"" function to rank by IMDb rating and other criteria."
The Lord of the Rings: The Return of the King,PG-13,2003,9,1990494,https://www.imdb.com/title/tt0167260/,"Action, Adventure, Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"J.R.R. Tolkien
Fran Walsh",Peter Jackson,"Elijah Wood
Viggo Mortensen
Ian McKellen
Orlando Bloom
Noel Appleby
Ali Astin
Sean Astin
David Aston
John Bach
Sean Bean
Cate Blanchett
Billy Boyd
Sadwyn Brophy
Alistair Browning
Marton Csokas
Richard Edge
Jason Fitch
Bernard Hill","See the complete list of Best Picture winners. For fun, use the ""sort order"" function to rank by IMDb rating and other criteria."
Pulp Fiction,R,1994,8.9,2234512,https://www.imdb.com/title/tt0110912/,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Quentin Tarantino
Roger Avary",Quentin Tarantino,"John Travolta
Uma Thurman
Samuel L. Jackson
Bruce Willis
Tim Roth
Amanda Plummer
Laura Lovelace
Phil LaMarr
Frank Whaley
Burr Steers
Ving Rhames
Paul Calderon
Bronagh Gallagher
Rosanna Arquette
Eric Stoltz
Jerome Patrick Hoban
Michael Gilden
Gary Shorelle",Take a look back at Samuel L. Jackson's movie career in photos.
The Lord of the Rings: The Fellowship of the Ring,PG-13,2001,8.9,2018935,https://www.imdb.com/title/tt0120737/,"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"J.R.R. Tolkien
Fran Walsh",Peter Jackson,"Elijah Wood
Ian McKellen
Orlando Bloom
Sean Bean
Alan Howard
Noel Appleby
Sean Astin
Sala Baker
Billy Boyd
Andy Serkis
Marton Csokas
Viggo Mortensen
Megan Edwards
Michael Elsworth
Cate Blanchett
Mark Ferguson
Ian Holm
Christopher Lee","Sir Christopher Lee (Saruman) read ""The Lord of the Rings"" once a year until his death in 2015, and had done so since the year it was published. He was also the only member of the cast and crew ever to have met J.R.R. Tolkien."
"The Good, the Bad and the Ugly",R,1966,8.8,815492,https://www.imdb.com/title/tt0060196/,"Adventure, Drama, Western",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Luciano Vincenzoni
Sergio Leone",Sergio Leone,"Clint Eastwood
Eli Wallach
Lee Van Cleef
Aldo Giuffrè
Luigi Pistilli
Rada Rassimov
Enzo Petito
Claudio Scarchilli
John Bartha
Livio Lorenzon
Antonio Casale
Sandro Scarchilli
Benito Stefanelli
Angelo Novi
Antonio Casas
Aldo Sambrell
Al Mulock
Sergio Mendizábal","Because writer and director Sergio Leone spoke barely any English and Eli Wallach (Tuco) spoke barely any Italian, the two communicated in French."
